hhid,bankid,year,muniid,salaryquarter,educ,agebingroup,depspread,ln_debt,hashome2,ln_housevalue2,has_unempl,ever_default,prate,rprate,depositvol,debt,number_years_relid,real_assets,unemployed,deprate,ave_dep,gjeldsrenter,loanvol,hhi_deposit,hhi_loan,w_hhi_dep,w_hhi_loans,w_mshare_dep,w_mshare_loans,birthyear,pop_density,hashome3,loanrate,loanspread_on,parent,retired,ln_inc,wealth,total_income,gross_wealth,ln_wealth,ln_deposits,old_mshare_deposit,mrkt_share_deposit,sameplace,withinmovers,acrossmovers
1535,9,1,8,4,2,5,2.76129380982707,10.549853117273273,0,11.227180452304559,0,0,4.103060434911047,4.103060434911047,64654.12340718195,49283.41768742861,14,86778.94408305034,0,2.780834969561984,3463.7350271287446,76.64404989877576,966.054109490031,0.05441354089168282,0.6398767433115379,0.46056635533264756,0.7914560885944506,0.40374456830757954,0.8786347389771204,1979,5148.153388997212,0,5.973823528328074,0.9311375662386789,1,0,8.78673130078187,84976.60892187577,44574.23985317666,84976.60892187577,11.350131308446567,11.076807162632967,0.22757763047219026,0.24273752842119808,0,0,0
1535,9,2,4,4,1,5,3.255135484503909,11.028942661068058,1,11.226315561708295,1,0,5.929801039281419,5.929801039281419,77730.04899765122,17822.0871889046,14,42132.36979634312,0,2.29066656274599,5089.467848290958,5.387344807246741,2015.125561976977,0.33576323041044176,0.10591834134348743,0.027696390534342363,0.8944721691382971,0.9751920900099369,0.3414999372345502,1991,4517.356903016427,1,3.9257057537870232,3.5958683204990924,0,0,9.163624251348345,34281.97913748183,48894.65245422768,34281.97913748183,10.442375105510777,11.260997192581087,0.45017218931355224,0.8373610746331482,0,1,1
1535,9,3,7,2,1,1,0.019450607660612684,10.97531625083365,0,8.420038980485314,0,0,9.858000655468407,9.858000655468407,9426.361124011763,93684.6844813317,14,40639.18685458534,0,4.3947046181870855,1551.3351131846343,10.519545389081387,5468.855268921135,0.7096985697296969,0.005127501506717036,0.8479149064470668,0.06125146042181262,0.2068932108829491,0.9769898015628404,1966,2012.424518508037,0,5.94557978800777,0.3936523799047875,1,0,8.772132243733019,9604.676348952135,32093.63240492653,9604.676348952135,9.170005378534164,9.151265418229945,0.8986972152067375,0.25676757692382207,1,1,0
1535,9,4,2,2,1,1,1.1997851451927366,11.162839026681311,1,9.97074442645259,0,1,3.7478450749521763,3.7478450749521763,55688.76991220074,50027.62687066684,14,40820.0049938082,1,9.642030121697822,9374.124017128124,68.95327255782374,262.61863765642545,0.22602671759100013,0.4678561353171308,0.7697880002636845,0.315097462459795,0.5092992837502858,0.2761463502101198,1953,4032.845507173364,0,5.253452858431794,0.23503661054818603,1,0,7.5652303356571045,62127.82714617229,66001.91054082825,62127.82714617229,11.036949269746556,10.92753378821265,0.04973495216797932,0.3394205561894328,0,1,1
1535,9,5,9,1,3,2,4.09481570005347,11.483521774118264,0,10.74321695135008,0,1,4.298919974291056,4.298919974291056,77323.1893235612,26624.9215345057,14,73457.92973575811,0,9.274225333055167,1451.0491445487971,75.29961714103652,5278.634194249598,0.42729397106562694,0.9227301954810256,0.08832300483906641,0.1066538841510114,0.6569546680807582,0.0794539008453744,1951,3835.7449286178557,1,9.601078211017,7.381039329887922,0,0,8.022331960129128,10904.323616337619,35829.299014284734,10904.323616337619,9.296914651616964,11.255749180836311,0.7276769439031727,0.8689689793817078,1,0,0
1535,9,6,5,2,4,3,4.655219252305601,11.394053410183615,0,11.15201387497668,0,1,5.422659066643069,5.422659066643069,55807.81143331004,80607.67431407605,14,24537.851167886627,0,6.196530838789794,8463.460301529194,16.945073329181724,2229.594504375673,0.9608284854004432,0.7267365818439512,0.6621379717814568,0.33455113974727535,0.044106693246933615,0.06745996045671188,1965,9244.924957697604,1,2.9655718457571814,8.935734058645973,1,1,6.296534242132052,93806.00655373085,22239.86546979285,93806.00655373085,11.448984168698175,10.929669128416004,0.05216059676977765,0.2923382630622193,1,0,0
1535,9,7,2,1,4,4,1.9095600564256687,10.210546389271967,0,9.007374999298545,0,1,1.545266725288047,1.545266725288047,43556.47248451725,59526.11648479352,14,20895.769929092854,0,7.960497107587512,1346.0001595226545,5.703652837872353,8055.882461002476,0.9512679113018088,0.4719774408732239,0.2969599396257506,0.1010077718949225,0.6921845638979676,0.9242132619511038,1960,3534.287834272225,0,0.3100929734189184,3.381974699621917,0,1,8.995669890972522,44236.002889589465,1624.9893641117396,44236.002889589465,10.697294281517372,10.681813593155239,0.6695434686850491,0.8294613824420389,1,1,0
1535,9,8,7,4,4,1,7.834783165647145,10.380050924954599,1,10.710876037567752,1,0,9.095506063575009,9.095506063575009,86225.51059784197,12651.697647689774,14,1541.1399934088354,1,6.866279993046568,1724.3767784641161,15.144188141298665,4929.079073663554,0.07541394407092128,0.7584558962561753,0.3066486163080788,0.535926463417226,0.1364062597982394,0.831839820330586,1951,6698.418765925651,0,4.026548885929518,5.3452954710684075,1,1,9.042757085799206,68764.69109426002,84720.31443905843,68764.69109426002,11.138445681344434,11.36472135947892,0.6996064533186318,0.2925632936279801,1,1,1
1535,9,9,6,2,1,4,5.434653918721597,10.411119417757586,0,11.127520584452228,0,1,8.799097304823096,8.799097304823096,90764.25197096603,51482.11758684325,14,31999.02509156598,1,1.0168740343639049,3544.443398349466,55.90380251364967,8345.352167008114,0.994256443681055,0.15393163562808776,0.7659187307094902,0.008705742277029693,0.14858142797209428,0.6892298436374665,1951,8499.724857805824,1,7.877395600803359,8.801641213947901,0,0,9.175586697451743,14197.190137393334,96042.59635677717,14197.190137393334,9.56079934636063,11.416020786308607,0.10796338626963137,0.3419376827514314,1,0,0
1535,9,10,10,1,2,2,6.96461302347201,11.331924085646978,1,10.659074728974323,0,0,6.155714087962569,6.155714087962569,59713.94348491506,15583.10825763075,14,55460.7082662986,0,7.97264264600046,5696.130710492725,84.69396072563723,2007.7249988376966,0.003570797909163481,0.3337737421515945,0.9978798427354828,0.6759521635298289,0.3079256312255909,0.6571108552027954,1987,9377.413362874377,1,6.824358335301924,9.798036698464326,0,1,8.723858667493639,44176.576908561074,28968.3470297773,44176.576908561074,10.695949993405586,10.997320831321295,0.23046789557601385,0.7670051034109246,1,1,0
